abandon;vt. 放弃,沉溺n. 放任;[4'b1nd4n]
degenerate;a. 堕落的vi. 退化,堕落vt. 使变质,使退化;[di'd9en4reit]
degrade;vt.vi. (使)降级,(使)堕落,(使)退化;[di'greid]
deity;n. 神,神性;['di:iti]
dejected;a. 沮丧的,灰心的;[di'd9ektid]
delay;n. 耽搁,迟滞vt.vi. 耽搁,延迟v. 延迟;[di'lei]
delegate;n. 代表vt. 委派...为代表;['deligeit]
delete;vt. 删除v. 删除;[di'li:t]
deleterious;a. 有害于,有毒的;['dAl4'tiri4s]
deliberately;ad. 故意地;[di'lib4ritli]
delicate;a. 细致优雅的,微妙的,美味的;['delikit]
delicious;a. 美味的;[di'li54s]
delineate;vt. 描绘...的轮廓,描绘,描写;[di'linieit]
delude;vt. 迷惑,蛊惑;[di'lu:d]
demise;n. 崩,薨,死亡vt. 让渡,遗赠,转让;[di'maiz]
democracy;n. 民主政治,民主主义;[di'm3kr4si]
demolish;vt. 毁坏,破坏,粉碎;[di'm3li5]
demonstrate;vt. 示范,证明vi. 示威;['dem4nstreit]
demur;vi. 提出异议,反对,抗辩n. 异议,反对;[di'm4:]
denote;vt. 指示,表示;[di'n4ut]
denounce;vt. 告发,公然抨击,谴责;[di'nauns]
dense;a. 密集的,浓厚的;[dens]
density;n. 密度;['densiti]
deny;vt.vi. 否认,拒绝;[di'nai]
depart;vi. 离开,出发,去世,违反,放弃;[di'pa:t]
dependent;n. 依赖他人者a. 依赖的,从属的;[di'pend4nt]
depict;vt. 描述,描写;[di'pikt]
deplore;vt. 悲悼,哀叹,悔恨;[di'pl3:]
deport;vt. 持,举止,驱逐;[di'p3:t]
deposit;n. 存款,定金,堆积物vt. 存放,堆积vi. 沉淀;[di'p3zit]
depot;n. 停车场,车站,贮藏所,仓库;['dep4u]
deprecate;vt. 声明不赞成,抨击,反对;['deprikeit]
depreciate;vi. 贬值vt. 降价,贬低;[di'pri:5ieit]
depress;vt. 使沮丧,压低,降低,使萧条;[di'pres]
depression;n. 不景气,消沉,沮丧,洼地;[di'pre54n]
deputy;n. 代理人,代表;['depjuti]
derange;vt. 扰乱,使发狂;[di'reind9]
deride;vt. 嘲弄,嘲笑;[di'raid]
desert;n. 沙漠a. 沙漠的,不毛的vt. 放弃,遗弃,逃跑vi. 逃掉n. 应得的赏罚,功过;['dez4t,di'z4:t]
deserve;vt. 该得到,值得vi. 应得报答;[di'z4:v]
design;n. 设计,图样,企图vt.vi. 设计,计划;[di'zain]
designate;vt. 指定,指明,称呼a. 选出而未上任的;['dezigneit]
designing;"(U) 1 设计; 构思,图案2 阴谋 adj. 有计划的; 有阴谋的";[di'zaini_]
desirable;a. 令人想要的;[di'zai4r4bl]
desire;n. 欲望,要求vt. 想要,请求vi. 愿望;[di'zai4]
desirous;adj. 1 渴望[…]的,想得到[…]的[of]2 希望<做…>的,想要<做…>的3 希望;[di'zai4r4s]
desolate;a. 荒凉的;['des4lit]
dispatch;vt. 派遣n. 派遣,急件;[dis'p1t5]
desperate;a. 不顾死活的,危急的,令人绝望的,极渴望的;['desp4rit]
despicable;a. 可鄙的,卑劣的;['despik4bl]
despise;vt. 轻视;[dis'paiz]
despoil;vt. 夺取,掠夺;[di'sp3il]
dessert;n. 餐后甜点;[di'z4:t]
destination;n. 目的地n. 目的文件,目的单元;['desti'nei54n]
destine;vt. 注定,预定;['destin]
destiny;n. 命运,定数;['destini]
destructive;a. 毁灭性的,破坏的,有害的;[dis'tr8ktiv]
detach;vt. 分离,分遣;[di't1t5]
detached;a. 超然的,分离的;[di't1t5t]
detain;vt. 扣留,扣押,阻止;[di'tein]
detect;vt. 发现,察觉,探测;[di'tekt]
determination;n. 决心,果断;[di't4:mi'nei54n]
determine;vt.vi. 决定,决心;[di't4:min]
deterrent;a. 制止,防止,挽留n. 挽留的事物,妨碍物;[di'ter4nt]
detest;vt. 厌恶,憎恨;[di'test]
detract;vt.vi. 减去,贬低;[di'tr1kt]
detriment;n. 购买,购物,好买的;['detrim4nt]
detrimental;a. 有害的;['dAtr4'mAntl]
devastate;vt. 毁坏;['dev4steit]
develop;vt. 发展,发达,显影,洗印,进步vi. 发展,生长;[di'vel4p]
deviate;vi. 脱离,出轨vt. 使偏离a. 脱离常规的n. 脱离常规的人;['di:vieit]
device;n. 装置,设计,策略,发明物n. 设备;[di'vais]
devious;a. 偏僻的,迂回的;['divi4s]
devise;vt. 设计,发明,图谋,遗赠给n. 遗赠;[di'vaiz]
devoid;a. 全无的,缺乏的;[di'v3id]
devoted;a. 投入的,深爱的;[di'v4utid]
devotion;n. 热爱,投入;[di'v4u54n]
devour;vt. 吞食,挥霍,吞没;[di'vau4]
devout;a. 虔诚的,虔敬的,衷心的;[di'vaut]
dexterous;a. 灵巧的,用右手的;['dekst4r4s]
diagnose;vt.vi. 诊断;['dai4gn4uz]
diagnosis;n. 诊断;['dai4g'n4usis]
diagram;n. 图表;['dai4gr1m]
dialect;n. 方言,语调;['dai4lekt]
dialogue;n. 对话vi. 对话vt. 用对话表达;['dai4l3g]
diameter;n. 直径;[dai'1mit4]
dictatorial;a. 独裁者的,独裁的,独断的;[dikt4't3:ri4l]
diet;n. 日常饮食,议会vt. 照规定饮食vi. 忌食;['dai4t]
diffuse;vt.vi. 散播,传播a. 散开的,弥漫的;[di'fju:z]
dignified;a. 有威严的,有品格的;['dignifaid]
dignify;vt. 增威严,使高贵,故作显贵;['dign4'fai]
dignity;n. 尊严,高贵;['digniti]
digress;vi. 走向岔道,离题,扯到枝节上;[d4'gres]
dilate;vi. 扩大,详述,膨胀vt. 使膨胀;[dai'leit]
dilemma;n. 困境,进退两难的局面;[di'lem4]
diligent;a. 勤勉的,用功的;['dilid94nt]
dilute;vt. 冲淡,稀释a. 淡的,稀释的;[dai'lut]
dim;a. 暗淡的,模糊的vt. 使暗淡;[dim]
dimension;n. 尺寸,次元,容积,维数vt. 表出尺寸;[di'men54n]
diminish;vt.vi. (使)减少,(使)变小;[di'mini5]
diminutive;a. 小的,小型的,指小的n. 小的人,指小辞,指小词,爱称;[di'minjutiv]
dingy;a. 暗黑的,邋遢的;['di6gi,'di6d9i]
diplomacy;"(U) 1 外交; 外交手腕2 交际手段,策略 (tact)";[di'ploum4si]
diplomatic;a. 外交的,老练的;['dipl4'm1tik]
direct;a. 直接的,坦白的vt. 指示,指挥,命令,导演vi. 指导,指挥ad. 直接地;[di'rekt]
disarm;vt. 解除武装,回复平常的编制,缓和vi. 放下武器;[dis'a:m]
disarming;a. 似消除的,似解除警戒心的;[dis'2:mi6]
disarrange;vt. 扰乱,搅乱,弄乱;['dis4'rend9]
disarray;vt. 弄乱,使混乱,使脱去衣服n. 无秩序,杂乱,不整齐的衣服;['dis4're]
disaster;n. 灾祸,不幸;[di'za:st4]
disastrous;a. 损失惨重的,悲伤的;[di'za:str4s]
disband;vt. 解散,使退伍vi. 解散;[dis'b1nd]
disburse;vt. 支付,支出,分配;[dis'b4:s]
discard;vt. 丢弃,抛弃,解雇vi. 垫牌n. 垫牌,抛弃;[dis'ka:d]
discern;vt.vi. 辨别,看清楚;[di's4:n]
discernible;adj. 可分别的;"[di's_:n_bl;di's_:n_b_l]"
discharge;vt. 卸下,放出,解雇,放电,履行,拔染vi. 卸货,流注n. 卸货,流出,放电;[dis't5a:d9]
disciple;n. 弟子,门徒;[di'saipl]
disclaim;vt.vi. 放弃,弃权,拒绝;[dis'klem]
discord;n. 不调和,不和vi. 不一致,倾轧;['disk3:d]
discord;n. 不调和,不和vi. 不一致,倾轧;['disk3:d]
discount;n. 折扣,贴现率vt. 打折扣vi. 贴现;['diskaunt]
discourse;n. 谈话,演讲vi. 谈论,演说;[dis'k3:s]
discreet;a. 小心的,慎重的;[dis'kri:t]
discrete;a. 不连续的a. 离散的;[di'skrit]
discretion;n. 慎重,辨别力,考虑,处理权;[dis'kre54n]
discrimination;n. 差别,歧视,辨别力;[dis'krimi'nei54n]
disdain;n. 轻蔑vt. 蔑视,鄙弃;[dis'dein]
disfigure;"vt. 毁损…的外观,使…变丑; 破坏…的价值 [优点]  n. ~ment";[dis'fig4]
disgrace;n. 耻辱,不名誉vt. 使耻辱,使失体面;[dis'greis]
disgust;n. 厌恶,嫌恶vi. 令人厌恶vt. 使作呕;[dis'g8st]
disinterested;a. 无私欲的,廉洁的,公平的;[dis'int4r4stid]
dismal;a. 阴沉的,凄凉的,暗的n. 低落的情绪,沼泽;['dizm4l]
dismay;n. 沮丧vt. 使惊愕,使气馁;[dis'mei]
disparage;vt. 蔑视,贬损;[dis'p1rid9]
dispatch;vt. 派遣n. 派遣,急件;[dis'p1t5]
dispensable;a. 不是必要的,可有可无的;[di'spens4bl]
displace;vt. 移置,替换,转移;[dis'pleis]
dispose;vt. 处理,排列,布置vi. 处置;[dis'p4uz]
disposition;n. 性情,处置,处理,布置;['disp4'zi54n]
disprove;vt. 证明...是不对的,提出...的反证,反驳;[dis'pru:v]
disreputable;a. 名誉不好的,评价不高的,声名狼藉的;[dis'repjut4bl]
disrespectful;a. 失礼的,无礼的;[disris'pektful]
disrupt;a. 分裂的,分散的vt. 使分裂,使瓦解;[dis'r8pt]
dissect;vt.vi. 解剖,切细;[di'sAkt]
dissemble;vt.vi. 掩饰,假装不知道;[di'sembl]
disseminate;vt. 散播,传播,宣传vi. 广为传播;[di'semineit]
dissimilar;a. 不同的,相异的;[di'simil4]
dissimulate;vt.vi. 掩饰,假装,装糊涂;[di'simjuleit]
dissipate;vt. 散失,驱散,浪费vi. 消散,放荡;['disipeit]
distant;a. 远的,疏远的;['dist4nt]
distillation;n. 蒸馏;['distl'e54n]
distort;vt. 扭曲,歪曲;[dis't3:t]
distract;vt. 转移,分心,使发狂;[dis'tr1kt]
distressed;a. 哀伤的;"[dis'trest;di'strest]"
distribute;vt. 分配,散布,分发;[dis'tribju:t]
disunite;vt. 使分离,不和;['disju'nait]
diverge;vi. 分歧,岔开vt. 使岔开;[dai'v4:d9]
divergent;a. 分歧的;[dai'v4:d94nt]
diverse;a. 不同的,变化多的;[dai'v4:s]
diversify;vt. 使成形形色色,使多样化,使变化;[d4'v4:s4'fai]
divide;vi. 分开,分类,分裂vt. 分,分开,分裂,除n. 分配,分水岭v. 除;[di'vaid]
divulge;vt. 泄露,暴露;[dai'v8ld9]
doctrine;n. 教条,学说;['d3ktrin]
dodge;vi.vt. 避开,躲避n. 诡计,躲藏;[d3d9]
dogma;n. 教条;['d3gm4]
dogmatic;a. 教条的,独断的;[d3g'm1tik]
doleful;a. 悲哀的,寂寞的,阴沉的;['d4ulful]
dolphin;n. 海豚;['d3lfin]
domestic;a. 家庭的,国内的,驯服的;[d4'mestik]
dominant;a. 占优势的,支配的;['d3min4nt]
dominate;vt.vi. 支配,占优势;['d3mineit]
domineering;adj. 盛气凌人的,跋扈的,作威作福的 adv. ~ly;[-'ni4ri6]
dominion;n. 领土,主权,统治;[d4'minj4n]
donate;vt.vi. 捐赠;[d4u'neit]
donor;n. 捐赠人;['d4un4]
doomed;"adj. 1 命运注定的; 被定罪的; 天数已尽的2 注定要失败、死亡、或毁灭的";[du:md]
dormant;a. 睡眠状态的,静止的;['d4u:m4nt]
dormitory;n. 宿舍;['d3:mitri]
doubt;n. 怀疑,疑惑vt.vi. 怀疑,不信;[daut]
doubtful;a. 可疑的,疑心的,不确的;['dautful]
downcast;a. 气馁的,悲哀的;['daun'ka:st]
downhearted;a. 垂头丧气的,无精打采的,闷闷不乐的;['daun'h2:tid]
doze;vi. 打瞌睡,假寐vt. 打瞌睡度过n. 瞌睡;[d4uz]
drag;n. 拖,拖累vt.vi. 拖累,拖拉,慢条斯理地走v. 拖动;[dr1g]
drastic;a. 激烈的;['dr1stik]
drawback;n. 不利点,退税;['dr3:b1k]
dread;n. 恐惧,可怕的人,可怕的事a. 可怕的,可怖的vt.vi. 恐惧,害怕;[dred]
drizzle;n. 细雨vi.vt. 下毛毛雨;['drizl]
drought;n. 干旱,缺乏;[draut]
drowsy;a. 昏昏欲睡的;['drauzi]
dual;a. 双重的,双的n. 双数;['dju:4l]
dubious;a. 可疑的,不确定的;['dju:bj4s]
ductile;a. 易延展的,柔软的,易教导的;['d8ktl]
due;n. 应得的东西,应付款a. 到期的,应得的,应付的,约定的;[dju:]
dumb;a. 哑的,不说话的,无声音的;[d8m]
dungeon;n. 地牢;['d8nd94n]
durable;a. 持久的,耐用的;['dju4r4bl]
dusky;"adj. 1 微暗的,暗淡的; 阴暗的2 (委婉语) (皮肤) 微黑的,带黑色的 adv. duskily n. -iness";['d8ski]
dwell;vi. 居住,踌躇;[dwel]
dwelling;n. 住处;['dweli6]
dwindle;vi. 减少,缩小,衰落vt. 使缩小;['dwindl]
dye;n. 颜料,染料vt. 染,染色vi. 着色;[dai]
eager;a. 热心的,渴望的,热望的;['i:g4]
ebb;n. 退潮,衰退vi. 潮退,衰退;[eb]
eccentric;n. 怪人,偏心圆a. 古怪的,反常的,不同圆心的,;[ik'sentrik]
economical;a. 节俭的,经济的,合算的;['i:k4'n3mik4l]
economics;n. 经济学;['i:k4'n3miks]
economize;vt.vi. 节约,节省,有效地利用;[i'k3m4maiz]
ecstasy;n. 狂喜,心醉神迷,忘形;['ekst4si]
edge;n. 边缘,尖锐,刀刃,优势vt. 使锐利,挤进,镶边,开刃vi. 缓缓移动;[ed9]
edible;n. 食品,食物a. 可食用的;['edibl]
edify;vt. 启迪,熏陶,教诲;['edifai]
efface;vt. 抹去,消除,忘却;[i'feis]
effect;n. 结果,影响,效果,印象vt. 招致,引起,完成v. 效果;[i'fekt]
effective;a. 有效的,有力的,实际的n. 有生力量;[i'fektiv]
effectuate;vt. 招致,实行,完成;[4'fAkt5u'et]
efficient;a. 有效率的,能干的;[i'fi54nt]
effuse;vt.vi. 涌出,流出,泻出;[A'fjuz]
egoist;n. 自我主义者;['egouist]
eject;vt. 逐放,放逐,喷射n. 推断的事物;[i:'d9ekt]
elaborate;a. 精细的,详尽的,精心的vt. 详细地说明,用心地制作,推敲vi. 变复杂,作详细说明;[i'l1b4rit]
elapse;vi. 逝去,过去n. 逝去,过去;[i'l1ps]
elasticity;n. 弹力,弹性;[i'l1s'tis4ti]
elation;n. 得意洋洋,兴高采烈;[i'le54n]
election;n. 选举,当选,选择权;[i'lek54n]
elegant;a. 优雅的,端庄的,高雅的;['elig4nt]
element;n. 元件,元素,要素;['elim4nt]
elementary;a. 初步的,基本的;['eli'ment4ri]
elevate;vt. 举起,提拔,鼓舞;['eliveit]
elite;n. 精华,精锐,中坚分子;[ei'li:t]
eloquence;n. 口才,雄辩术,雄辩;['el4kw4ns]
eloquent;a. 雄辩的,有口才的,动人的;['el4kw4nt]
elucidate;vt. 阐明,说明;[i'lu:sideit]
elude;vt. 逃避,规避,使困惑;[i'lu:d]
elusive;a. 难懂的,易忘的,难捉摸的;[i'lu:siv]
emaciate;vt. 使消瘦,使憔悴vi. 消瘦;[i'mei5ieit]
emaciated;a. 瘦弱的,衰弱的;[i'mei5ieitid]
embalm;vt. 以药物防腐,铭记于心,使不朽;[im'bam]
embarrass;vt. 使困窘,使局促不安,阻碍;[im'b1r4s]
embellish;vt. 修饰,装饰,润色;[im'b1li5]
embezzle;vt. 盗用,挪用;[im'bAzl]
embody;vt. 具体表达,使具体化;[im'b3di]
embrace;n. 拥抱vt. 拥抱,互相拥抱,包含,收买vi. 拥抱;[im'breis]
embroider;vt. 刺绣,镶边,装饰vi. 绣花;[im'br3id4]
emend;vt. 修订,校勘;[i'mAnd]
emerge;vi. 浮现,形成,(由某种状态)脱出,(事实)显现出来;[i'm4:d9]
emigrate;vi.vt. (使)移居,(使)移民;['emigreit]
eminent;a. 显赫的,杰出的,有名的;['emin4nt]
emphasize;vt. 强调,加强语气,着重;['emf4saiz]
emphatic;a. 语调强的,用力的,强调了的;[im'f1tik]
employee;n. 职员,员工,受雇人员;['empl3i'i:]
employer;n. 雇主,老板;[im'pl3i4]
empower;vt. 授予权力,允许,使能够;[im'pau4]
empty;n. 空的东西,空物a. 空的,空虚的,空腹的,空洞的vt. 倒空,使变空,使流入vi. 流空;['empti]
emulate;vt. 效法,尽力赶上,同...竞争;['emjuleit]
enable;vt. 使能够;[i'neibl]
enact;vt. 制定法律,扮演,颁布;[i'n1kt]
enchant;vt. 施魔法,使迷惑;[in't5a:nt]
encompass;vt. (文语)1 围绕,包围2 包含,含有3 造成 <坏的结果等>;[in'k8mp4s]
encourage;vt. 鼓励,支持,激励;[in'k8rid9]
encroach;vi. 侵犯,侵蚀,蚕食;[in'krout5]
encumber;vt. 妨害,阻害,拖累;[in'k8mb4]
endanger;vt. 危及;[in'deind94]
endeavor;n. 努力,尽力vi. 努力,尽力;[in'dAv4]
endless;a. 不停的,无穷尽的,无尽的;['endlis]
endorse;vt. 支持,赞同,背书于,签;[in'd3:s]
endure;"vt.  (耐心地) 忍受,容忍a. 忍耐b. 对<做…事>忍耐,忍受<做…事> vi. (文语)1 维持; 持续,持久 (last) 2 忍耐,忍受";[in'dju4]
energetic;a. 精力充沛的,积极的;['en4'd9etik]
energize;vt. 使活跃,给予精力;['en4'd9aiz]
enervate;vt. 使衰弱a. 衰弱的,无力的;['en4'veit]
engender;vt. 产生,引起vi. 发生,形成;[in'd9And4]
engross;vt. 用大字体书写,独占,使全神贯注;[in'gr4us]
engrossed;adj. 1 热衷的,着迷的2 热衷于,埋头于[in]; [in'gr_ust]  
engulf;vt. 卷入,吸进,使全神贯注,吞没,投入深渊;[in'g8lf]
enhance;vt. 提高,加强,增加;[in'ha:ns]
enigma;n. 谜,不可思议的东西;[i'nigm4]
enigmatic;a. 阴阳怪气的,谜一般的,高深莫测的;[enig'm1tik]
enlighten;vt. 授予...知识,启发,教导,开导;[in'laitn]
enlist;vt. 征募,参与,谋取vi. 从军,应募,赞助;[in'list]
enormous;a. 巨大的,庞大的;[i'n3:m4s]
enrage;vt. 激怒,使暴怒;[in'reid9]
enrapture;vt. 使狂喜;[in'r1pt54]
enrich;vt. 使富足,使肥沃;[in'rit5]
enslave;vt. 奴役,束缚,沉溺,征服;[in'sleiv]
entail;vt. 使必需,使蒙受,使承担,遗传给n. 限定继承权;[in'teil]
entangle;vt. 使纠缠,卷入,使混乱;[in't16gl]
enterprise;n. 企业,事业心,进取心,干事业;['ent4praiz]
entertain;vt. 娱乐,招待,怀抱vi. 款待;['ent4'tein]
enthrall;vt. 迷惑,奴役,迷住;[in'7r3l]
enthusiasm;n. 狂热,热心;[in'7ju:zi1z4m]
entice;vt. 诱骗,引诱,怂恿;[in'tais]
entitle;vt. 取名为,给予名称,叫做;[in'taitl]
entitled;"v. 给...权力,给予标题,使有资格,给予标题,给予名称;vbl. 给...权力";[in'taitld]
entity;n. 实体,实存物,存在;['entiti]
entrap;vt. 骗入,诱捕,使陷入;[in'tr1p]
entrepreneur;n. 企业家,主办人;['3ntr4pr4'n4:]
enumerate;vt. 列举,计算,枚举,数;[i'nju:m4reit]
enunciate;vt. 明确地叙述,表明vi. 发音;[i'n8nsieit]
envelop;vt. 包封,遮盖,包围n. 信封;[in'vel4p]
envoy;n. 外交使节,特使;['env3i]
episode;n. 插曲,插话,有趣的事件,一段情节;['epis4ud]
epoch;n. 新纪元,时代,时期;['i:p3k]
equal;n. 对手,匹敌,同辈a. 相等的,平等的,胜任的,不相上下的,平静的vt. 等于,比得上;['i:kw4l]
equate;vt. 使相等,视为平等vi. 等同;[i'kwet]
equation;n. 相等,等式,平衡;[i'kwei54n]
equator;n. 赤道;[i'kweit4]
equilibrium;n. 平衡,平静,均衡;[i:kwi'libri4m]
equipment;n. 装备,设备品,才能;[i'kwipm4nt]
equitable;a. 公平的,公正的;['4kwit4bl]
equivalent;n. 同等物,等价物,相等物a. 相等的,相当的,同意义的;[i'kwiv4l4nt]
equivocate;vi. 说模棱两可的话,支吾;[i'kwiv4keit]
equivocal;a. 意义不明确的,模棱两可的;[i'kwiv4kl]
erase;vt. 抹去,擦掉;[i'reiz]
erect;a. 直立的,竖立的,笔直的vt. 使竖立,使直立,树立,建立vi. 勃起;[i'rekt]
erode;vt. 腐蚀,侵蚀vi. 受腐蚀;[i'r4ud]
erosion;n. 腐蚀,冲蚀,侵蚀;[i'r4u94n]
err;vi. 犯错,做错,犯罪;[4:]
erratic;n. 古怪的人,漂泊无定的人a. 不稳定的,奇怪的;[i'r1tik]
erroneous;a. 错误的,不正确的;[i'r4unj4s]
erupt;vi. 爆发vt. 喷出;[i'r8pt]
escape;n. 逃亡,避难设备,出口,逃跑vi. 逃脱,避开,溜走vt. 逃避,避免,被忘掉;[is'keip]
eschew;vt. 避开,远避;[As't5u]
escort;n. 护送者,护卫者,护航舰vt. 护卫,护送;['esk3:t]
essential;n. 要素,要点,本质a. 必要的,重要的,本质的;[i'sen54l]
esteem;n. 尊敬,尊重vt. 尊敬,尊重,认为;[is'ti:m]
estimable;a. 可尊敬的,可估计的;['Ast4m4bl]
estimate;n. 估计,判断vt. 估计,评价,判断vi. 估计;['estimit,'estimeit]
eternal;a. 永恒的,永远的,不灭的;[i't4:nl]
ethics;n. 道德规范;['e7iks]
ethnic;adj. 1 民族 [人种] 的2 民族特有的 (C) 少数民族的成员;['e7nik]
etiquette;n. 礼仪,礼节,成规;['eti'ket,'etiket]
euphonious;a. 音响好的,悦耳的,和谐的;[ju:'founi4s]
evacuate;vt.vi. 疏散,撤出,排泄;[i'v1kjueit]
evade;vt.vi. 规避,逃避,躲避;[i'veid]
evaluate;vt. 评估,评价,赋值;[i'v1ljueit]
evaporate;vi. 蒸发,失去水分,消失vt. 使蒸发;[i'v1p4reit]
evasion;n. 逃避,借口;[i've94n]
evasive;a. 逃避的,回避的,托辞的;[i'veisiv]
even;a. 平坦的,偶数的,相等的,均匀的,连贯的,均等的,公平的,_玫?平静的,平均的vt. 使平坦,使相等,vi. 变平,相等ad. 甚至,_?正当n. 偶数,偶校验;['i:v4n]
eventual;a. 最后的,终于的,可能的;[i'ventju4l]
evidence;n. 证据,迹象;['evid4ns]
evident;a. 显然的,明显的;['evid4nt]
evoke;vt. 唤起,引起;[i'v4uk]
evolutionary;"adj. 1 进化论的2 展开 [进展] 的; 演变 [演化] 的";['i:v4'lu:5n4ri,'ev4-]
evolve;vi. 进展,进化,展开vt. 使发展,推论,使进化;[i'v3lv]
exacting;a. 苛求的,吃力的;[ig'z1kti6]
exaggerate;vt.vi. 夸大,夸张;[ig'z1d94reit]
exalt;vt. 提升,提高,赞扬,使得意vi. 使人兴奋;[ig'z3:lt]
exalted;a. 尊贵的,高位的,高尚的,兴奋的;[ig'z3:ltid]
exasperate;vt. 使恼怒,激怒,恶化a. 恼怒的,激怒的,恶化的;[ig'za:sp4reit]
excavate;vt.vi. 挖,挖开,凿通;['eksk4veit]
excellent;a. 优良的,杰出的,出色的;['eks4l4nt]
exception;n. 例外,除外,异议;[ik'sep54n]
exceptional;a. 例外的,异常的,特别的;[ik'sep54nl]
excerpt;n. 摘录,引用vt. 摘录,引用;['eks4:pt]
excess;n. 过度，超过,超额a. 过度的,额外的;[ik'ses,'ekses]
excessive;a. 过度的,格外的,极端的;[ik'sesiv]
exchange;n. 交换,汇兑,交易所vt.vi. 交换,交易,兑换;[iks't5eind9]
excitement;n. 刺激,兴奋;[ik'saitm4nt]
exclaim;vt.vi. 大叫,呼喊,大声叫;[iks'kleim]
exclusion;n. 排除,除外,逐出;[iks'klu:94n]
exclusive;a. 独占的,唯一的,排外的a. 独占的;[iks'klu:siv]
excuse;vt. 原谅,申辩,作为...的托辞n. 致歉,理由,借口,饶恕,口实;[iks'kju:z,iks'kju:s]
exemplary;a. 可仿效的,可做模范的;[ig'zempl4ri]
exemplify;vt. 例证,例示;[ig'z4mplifai]
exempt;n. 免税者,被免除义务者a. 免除的vt. 使免除,豁免;[ig'zempt]
exert;vt. 发挥,运用,施以影响;[ig'z4:t]
exhale;vt.vi. 呼气,发出,发散;['eksheil,eg'zeil]
exhaust;n. 排气,排气装置vt. 用尽,耗尽,抽完,使精疲力尽vi. 排气;[ig'z3:st]
exhaustive;a. 无遗漏的,彻底的,详尽的;[ig'z3:stiv]
exhibit;n. 展览品,陈列品,展览vt. 展现,陈列,展览vi. 开展览会;[ig'zibit]
exhume;vt. 掘出,发掘;[eks'hju:m]
exile;n. 放逐,流放,被放逐者vt. 放逐,流放,使背井离乡;['eksail]
exist;vi. 存在,发生,生存;[ig'zist]
exit;n. 出口,退场,离去,去世vi. 退出,脱离,去世v. 退出;['eksit]
exodus;n. 大批的离去;['eks4d4s]
exorbitant;a. 过度的,过高的,过分的;[ig'z3:bit4nt]
exotic;a. 异国的,外来的n. 外来物,舶来品;[ig'z3utik]
expand;vt. 使膨胀,详述,扩张vi. 张开,发展v. 展开;[iks'p1nd]
expansive;a. 易膨胀的,易扩张的;[iks'p1nsiv]
expedient;n. 权宜之计,临时手段a. 权宜的,方便的,有用的;[iks'pi:dj4nt]
expedite;vt. 加快,促进,派出a. 畅通的,无阻碍的,迅速的,方便的;['ekspidait]
expedition;n. 远征,探险队,迅速;['ekspi'di54n]
expeditious;a. 迅速的,敏捷的;[ekspi'di54s]
experienced;a. 富有经验的,老练的,熟练的;[iks'pi4ri4nst]
expertise;n. 专家的意见,专门技术;[eksp4'ti:z]
expire;vi. 期满,呼气,断气vt. 呼出;[iks'pai4]
explicit;a. 外在的,清楚的;[iks'plisit]
explode;vi. 爆炸,爆发,激发vt. 使爆炸;[iks'pl4ud]
exploit;n. 功绩,勋绩vt. 开发,利用,开拓,剥削;['ekspl3it,iks'pl3it]
explore;vt.vi. 探险,探测,探究;[iks'pl3:]
explosive;n. 炸药,爆炸物a. 易爆发的,爆炸的,暴躁的;[iks'pl4usiv]
exponent;n. 说明者,说明物a. 说明的n. 指数;[iks'poun4nt]
exposure;n. 暴露,揭发,揭露;[iks'p4u94]
expound;vt.vi. 详细说明,解释;[iks'paund]
exquisite;a. 精致的,细腻的,敏锐的;['ekskwizit]
extant;a. 现存的,未毁的;[eks't1nt]
extemporaneous;a. 无准备的,即席的,临时的;[ekstemp4'reinj4]
extension;n. 延长,扩充,范围n. 扩展名;[iks'ten54n]
extensive;a. 广的,广泛的,多方面的;[iks'tensiv]
extenuate;vt. 减轻,使人原谅;[ik'stAnju'et]
exterminate;vt. 扑灭,消灭,根绝;[eks't4:mineit]
external;n. 外部,外面a. 外部的,客观的,表面的;[eks't4:nl]
extinct;a. 熄灭的,灭绝的,耗尽的;[iks'ti6kt]
extinction;n. 消失,消灭,废止;[iks'ti6k54n]
extinguish;vt. 熄灭,消灭,偿清;[iks'ti6gwi5]
extol;vt. 颂扬,称赞,吹捧;[iks't3l]
extraneous;a. 无关系的,外来的;[eks'treinj4s]
extravagant;a. 奢侈的,挥霍无度的,浪费的;[iks'tr1vig4nt]
extricate;vt. 使解脱,救出;['ekstrikeit]
exude;vt.vi. (使)流出,(使)渗出;[ik'sjud]
exultant;a. 非常高兴的,欢跃的;[ig'z8ltnt]
eyewitness;n. 目击者,见证人;['ai'witnis]
fable;n. 寓言,神话,谎言vi. 虚构,作寓言;['feibl]
fabricate;vt. 制造,建造,装配,伪造;['f1brikeit]
facet;n. 小平面,方面,刻面;['f1sit]
facetious;a. 滑稽的,爱开玩笑的;[f4'si:54s]
facile;a. 温和的,容易的,灵巧的;['f1sail]
facility;n. 设备,容易,灵巧;[f4'siliti]
factious;a. 好搞派系的,好捣乱的;['f1k54s]
faint;n. 昏厥,昏倒a. 微弱的,无力的,模糊的vi. 昏倒,变得微弱;[feint]
faithful;a. 忠实的,详确的,可靠的n. 信徒;['fei7ful]
fallible;a. 易错的,可能犯错的;['f1l4bl]
familiarize;vt. 使熟悉,使熟知,使通俗化;[f4milj4raiz]
famish;vt. 使挨饿vi. 饥饿,挨饿;['f1mi5]
