abandon;vt. ·ÅÆú,³ÁÄçn. ·ÅÈÎ;[4'b1nd4n]
debt;n. Õ®Îñ,×ï¹ý;[det]
debtor;n. Õ®ÎñÈË,½èÖ÷,½è·½;['det4]
decadence;n. ÍÇ·Ï;[di'kedns]
decay;n. Ë¥ÍË,¸¯°Üvi. (Ê¹)Ë¥ÍË,(Ê¹)¸¯°Ü;[di'kei]
deceit;n. ÆÛÆ­,»ÑÑÔ;[di'si:t]
deceitful;a. ÆÛÕ©µÄ;[di'si:tful]
deceive;vt.vi. ÆÛÆ­,ÐÐÆ­;[di'si:v]
decent;a. ÓÐ·Ö´çµÄ,µÃÌåµÄ,´ó·½µÄ;['di:snt]
deceptive;a. ÃÔ»óµÄ,ÐéÎ±µÄ,ÆÛÕ©µÄ;[di'sAptiv]
decide;vt.vi. ¾ö¶¨,ÅÐ¾ö;[di'said]
decimal;a. Ê®½øÎ»µÄ,Ð¡ÊýµÄn. Ê®½øÖÆ,Ð¡Êýµã;['desim4l]
declaim;vi.vt. ÇÉ±ç,ÑÝ½²,ÀÊ¶Á;[di'kleim]
decline;n. Ë¥Î¢,µøÂä,ÏÂ½µvt. Ê¹½µµÍ,ÍñÐ»vi. ÏÂ½µ,Ë¥Âä,Æ«Ð±;[di'klain]
declivity;n. ÇãÐ±,ÏÂÆÂ;[di'kliv4ti]
decorum;n. ¶ËÕý,ÀñÃ²ºÏÒË,ÀñÒÇ;[di'k3:r4m]
decree;n. ·¨Áî,ÅÐ¾ö,Ê¥Ö¼vt. °ä²¼,ÅÐ¾övi. ·¢²¼ÃüÁî;[di'kri:]
decry;vt. ÔðÄÑ,·Ì°ù,Ú®»Ù;[di'krai]
dedicate;vt. Ï×³ö,¹±Ï×;['dedikeit]
deem;vt.vi. ÈÏÎª,ÏàÐÅ;[di:m]
defame;vt. ·Ì°ù,ÖÐÉË,ÆÆ»µÃûÓþ;[di'fem]
default;n. ¼ÙÉèÖµ,²»ÂÄÐÐÔðÈÎ,È±Ï¯vt.vi. Êèµ¡Ö°Ôð,È±Ï¯,ÍÏÇ·v. Ä¬ÈÏ;[di'f3:lt]
defect;n. È±µã;[di'fekt]
defection;n. ±³ÅÑ,ÍÑµ³,Àë»á;[di'fAk54n]
defective;a. ÓÐÈ±ÏÝµÄ,Ç·È±µÄn. ÓÐÈ±ÏÝµÄÈË,²»ÍêÈ«±ä»¯¶¯´Ê;[di'fektiv]
defend;vt. ·À»¤,±ç»¤,·ÀÎÀ;[di'fend]
defer;vi. ÍÆ³Ù,ÑÓÆÚ,Ìý´Óvt. Ê¹ÍÆ³Ù,Ê¹ÑÓÆÚ;[di'f4:]
deference;n. Ë³´Ó,×ðÖØ;['dAf4r4s]
deferential;a. ¹§¾´µÄ;[def4'ren54l]
defiant;a. ÌôÐÆµÄ,Ä¿ÖÐÎÞÈËµÄ;[di'fai4nt]
deficit;n. ³à×Ö,²»×ã¶î;['difisit]
defile;vt. ÅªÔà,ÎÛËð,°Ü»µvi. ÒÔ×Ý¶ÓÇ°½øn. °¯Â·,ÏÁ¹È;[di'fail]
definite;a. Ã÷È·µÄ,Ò»¶¨µÄ;['definit]
deflect;vt. ´òÍá,Ê¹Æ«Ð±vi. Æ«Ð±;[di'flekt]
defraud;vt. ÆÛÆ­;[di'fr3:d]
deft;a. Ãô½ÝÊìÁ·µÄ,ÁéÇÉµÄ;[deft]
defunct;a. ËÀµÄ,·ÇÏÖ´æµÄn. ËÀÕß;[di'f86kt]
defy;vt. ÃêÊÓ,ÌôÐÆ,Ê¹Âä¿Õn. ÌôÕ½;[di'fai]
degenerate;a. ¶éÂäµÄvi. ÍË»¯,¶éÂävt. Ê¹±äÖÊ,Ê¹ÍË»¯;[di'd9en4reit]
degrade;vt.vi. (Ê¹)½µ¼¶,(Ê¹)¶éÂä,(Ê¹)ÍË»¯;[di'greid]
deity;n. Éñ,ÉñÐÔ;['di:iti]
dejected;a. ¾ÚÉ¥µÄ,»ÒÐÄµÄ;[di'd9ektid]
delay;n. µ¢¸é,³ÙÖÍvt.vi. µ¢¸é,ÑÓ³Ùv. ÑÓ³Ù;[di'lei]
delegate;n. ´ú±ívt. Î¯ÅÉ...Îª´ú±í;['deligeit]
delete;vt. É¾³ýv. É¾³ý;[di'li:t]
deleterious;a. ÓÐº¦ÓÚ,ÓÐ¶¾µÄ;['dAl4'tiri4s]
deliberately;ad. ¹ÊÒâµØ;[di'lib4ritli]
delicate;a. Ï¸ÖÂÓÅÑÅµÄ,Î¢ÃîµÄ,ÃÀÎ¶µÄ;['delikit]
delicious;a. ÃÀÎ¶µÄ;[di'li54s]
delineate;vt. Ãè»æ...µÄÂÖÀª,Ãè»æ,ÃèÐ´;[di'linieit]
delude;vt. ÃÔ»ó,¹Æ»ó;[di'lu:d]
demise;n. ±À,Þ°,ËÀÍövt. ÈÃ¶É,ÒÅÔù,×ªÈÃ;[di'maiz]
democracy;n. ÃñÖ÷ÕþÖÎ,ÃñÖ÷Ö÷Òå;[di'm3kr4si]
demolish;vt. »Ù»µ,ÆÆ»µ,·ÛËé;[di'm3li5]
demonstrate;vt. Ê¾·¶,Ö¤Ã÷vi. Ê¾Íþ;['dem4nstreit]
demur;vi. Ìá³öÒìÒé,·´¶Ô,¿¹±çn. ÒìÒé,·´¶Ô;[di'm4:]
denote;vt. Ö¸Ê¾,±íÊ¾;[di'n4ut]
denounce;vt. ¸æ·¢,¹«È»Åê»÷,Ç´Ôð;[di'nauns]
dense;a. ÃÜ¼¯µÄ,Å¨ºñµÄ;[dens]
density;n. ÃÜ¶È;['densiti]
deny;vt.vi. ·ñÈÏ,¾Ü¾ø;[di'nai]
depart;vi. Àë¿ª,³ö·¢,È¥ÊÀ,Î¥·´,·ÅÆú;[di'pa:t]
dependent;n. ÒÀÀµËûÈËÕßa. ÒÀÀµµÄ,´ÓÊôµÄ;[di'pend4nt]
depict;vt. ÃèÊö,ÃèÐ´;[di'pikt]
deplore;vt. ±¯µ¿,°§Ì¾,»ÚºÞ;[di'pl3:]
deport;vt. ³Ö,¾ÙÖ¹,ÇýÖð;[di'p3:t]
deposit;n. ´æ¿î,¶¨½ð,¶Ñ»ýÎïvt. ´æ·Å,¶Ñ»ývi. ³Áµí;[di'p3zit]
depot;n. Í£³µ³¡,³µÕ¾,Öü²ØËù,²Ö¿â;['dep4u]
deprecate;vt. ÉùÃ÷²»ÔÞ³É,Åê»÷,·´¶Ô;['deprikeit]
depreciate;vi. ±áÖµvt. ½µ¼Û,±áµÍ;[di'pri:5ieit]
depress;vt. Ê¹¾ÚÉ¥,Ñ¹µÍ,½µµÍ,Ê¹ÏôÌõ;[di'pres]
depression;n. ²»¾°Æø,Ïû³Á,¾ÚÉ¥,ÍÝµØ;[di'pre54n]
deputy;n. ´úÀíÈË,´ú±í;['depjuti]
derange;vt. ÈÅÂÒ,Ê¹·¢¿ñ;[di'reind9]
deride;vt. ³°Åª,³°Ð¦;[di'raid]
desert;n. É³Ä®a. É³Ä®µÄ,²»Ã«µÄvt. ·ÅÆú,ÒÅÆú,ÌÓÅÜvi. ÌÓµôn. Ó¦µÃµÄÉÍ·£,¹¦¹ý;['dez4t,di'z4:t]
deserve;vt. ¸ÃµÃµ½,ÖµµÃvi. Ó¦µÃ±¨´ð;[di'z4:v]
design;n. Éè¼Æ,Í¼Ñù,ÆóÍ¼vt.vi. Éè¼Æ,¼Æ»®;[di'zain]
designate;vt. Ö¸¶¨,Ö¸Ã÷,³Æºôa. Ñ¡³ö¶øÎ´ÉÏÈÎµÄ;['dezigneit]
designing;"(U) 1 Éè¼Æ; ¹¹Ë¼,Í¼°¸2 ÒõÄ± adj. ÓÐ¼Æ»®µÄ; ÓÐÒõÄ±µÄ";[di'zaini_]
desirable;a. ÁîÈËÏëÒªµÄ;[di'zai4r4bl]
desire;n. ÓûÍû,ÒªÇóvt. ÏëÒª,ÇëÇóvi. Ô¸Íû;[di'zai4]
desirous;adj. 1 ¿ÊÍû[ÿ]µÄ,ÏëµÃµ½[ÿ]µÄ[of]2 Ï£Íû<×öÿ>µÄ,ÏëÒª<×öÿ>µÄ3 Ï£Íû;[di'zai4r4s]
desolate;a. »ÄÁ¹µÄ;['des4lit]
dispatch;vt. ÅÉÇ²n. ÅÉÇ²,¼±¼þ;[dis'p1t5]
desperate;a. ²»¹ËËÀ»îµÄ,Î£¼±µÄ,ÁîÈË¾øÍûµÄ,¼«¿ÊÍûµÄ;['desp4rit]
despicable;a. ¿É±ÉµÄ,±°ÁÓµÄ;['despik4bl]
despise;vt. ÇáÊÓ;[dis'paiz]
despoil;vt. ¶áÈ¡,ÂÓ¶á;[di'sp3il]
dessert;n. ²ÍºóÌðµã;[di'z4:t]
destination;n. Ä¿µÄµØn. Ä¿µÄÎÄ¼þ,Ä¿µÄµ¥Ôª;['desti'nei54n]
destine;vt. ×¢¶¨,Ô¤¶¨;['destin]
destiny;n. ÃüÔË,¶¨Êý;['destini]
destructive;a. »ÙÃðÐÔµÄ,ÆÆ»µµÄ,ÓÐº¦µÄ;[dis'tr8ktiv]
detach;vt. ·ÖÀë,·ÖÇ²;[di't1t5]
detached;a. ³¬È»µÄ,·ÖÀëµÄ;[di't1t5t]
detain;vt. ¿ÛÁô,¿ÛÑº,×èÖ¹;[di'tein]
detect;vt. ·¢ÏÖ,²ì¾õ,Ì½²â;[di'tekt]
determination;n. ¾öÐÄ,¹û¶Ï;[di't4:mi'nei54n]
determine;vt.vi. ¾ö¶¨,¾öÐÄ;[di't4:min]
deterrent;a. ÖÆÖ¹,·ÀÖ¹,ÍìÁôn. ÍìÁôµÄÊÂÎï,·Á°­Îï;[di'ter4nt]
detest;vt. Ñá¶ñ,Ô÷ºÞ;[di'test]
detract;vt.vi. ¼õÈ¥,±áµÍ;[di'tr1kt]
detriment;n. ¹ºÂò,¹ºÎï,ºÃÂòµÄ;['detrim4nt]
detrimental;a. ÓÐº¦µÄ;['dAtr4'mAntl]
devastate;vt. »Ù»µ;['dev4steit]
develop;vt. ·¢Õ¹,·¢´ï,ÏÔÓ°,Ï´Ó¡,½ø²½vi. ·¢Õ¹,Éú³¤;[di'vel4p]
deviate;vi. ÍÑÀë,³ö¹ìvt. Ê¹Æ«Àëa. ÍÑÀë³£¹æµÄn. ÍÑÀë³£¹æµÄÈË;['di:vieit]
device;n. ×°ÖÃ,Éè¼Æ,²ßÂÔ,·¢Ã÷Îïn. Éè±¸;[di'vais]
devious;a. Æ«Æ§µÄ,ÓØ»ØµÄ;['divi4s]
devise;vt. Éè¼Æ,·¢Ã÷,Í¼Ä±,ÒÅÔù¸øn. ÒÅÔù;[di'vaiz]
devoid;a. È«ÎÞµÄ,È±·¦µÄ;[di'v3id]
devoted;a. Í¶ÈëµÄ,Éî°®µÄ;[di'v4utid]
devotion;n. ÈÈ°®,Í¶Èë;[di'v4u54n]
devour;vt. ÍÌÊ³,»Ó»ô,ÍÌÃ»;[di'vau4]
devout;a. ò¯³ÏµÄ,ò¯¾´µÄ,ÖÔÐÄµÄ;[di'vaut]
dexterous;a. ÁéÇÉµÄ,ÓÃÓÒÊÖµÄ;['dekst4r4s]
diagnose;vt.vi. Õï¶Ï;['dai4gn4uz]
diagnosis;n. Õï¶Ï;['dai4g'n4usis]
diagram;n. Í¼±í;['dai4gr1m]
dialect;n. ·½ÑÔ,Óïµ÷;['dai4lekt]
dialogue;n. ¶Ô»°vi. ¶Ô»°vt. ÓÃ¶Ô»°±í´ï;['dai4l3g]
diameter;n. Ö±¾¶;[dai'1mit4]
dictatorial;a. ¶À²ÃÕßµÄ,¶À²ÃµÄ,¶À¶ÏµÄ;[dikt4't3:ri4l]
diet;n. ÈÕ³£ÒûÊ³,Òé»ávt. ÕÕ¹æ¶¨ÒûÊ³vi. ¼ÉÊ³;['dai4t]
diffuse;vt.vi. É¢²¥,´«²¥a. É¢¿ªµÄ,ÃÖÂþµÄ;[di'fju:z]
dignified;a. ÓÐÍþÑÏµÄ,ÓÐÆ·¸ñµÄ;['dignifaid]
dignify;vt. ÔöÍþÑÏ,Ê¹¸ß¹ó,¹Ê×÷ÏÔ¹ó;['dign4'fai]
dignity;n. ×ðÑÏ,¸ß¹ó;['digniti]
digress;vi. ×ßÏò²íµÀ,ÀëÌâ,³¶µ½Ö¦½ÚÉÏ;[d4'gres]
dilate;vi. À©´ó,ÏêÊö,ÅòÕÍvt. Ê¹ÅòÕÍ;[dai'leit]
dilemma;n. À§¾³,½øÍËÁ½ÄÑµÄ¾ÖÃæ;[di'lem4]
diligent;a. ÇÚÃãµÄ,ÓÃ¹¦µÄ;['dilid94nt]
dilute;vt. ³åµ­,Ï¡ÊÍa. µ­µÄ,Ï¡ÊÍµÄ;[dai'lut]
dim;a. °µµ­µÄ,Ä£ºýµÄvt. Ê¹°µµ­;[dim]
dimension;n. ³ß´ç,´ÎÔª,ÈÝ»ý,Î¬Êývt. ±í³ö³ß´ç;[di'men54n]
diminish;vt.vi. (Ê¹)¼õÉÙ,(Ê¹)±äÐ¡;[di'mini5]
diminutive;a. Ð¡µÄ,Ð¡ÐÍµÄ,Ö¸Ð¡µÄn. Ð¡µÄÈË,Ö¸Ð¡´Ç,Ö¸Ð¡´Ê,°®³Æ;[di'minjutiv]
dingy;a. °µºÚµÄ,åååÝµÄ;['di6gi,'di6d9i]
diplomacy;"(U) 1 Íâ½»; Íâ½»ÊÖÍó2 ½»¼ÊÊÖ¶Î,²ßÂÔ (tact)";[di'ploum4si]
diplomatic;a. Íâ½»µÄ,ÀÏÁ·µÄ;['dipl4'm1tik]
direct;a. Ö±½ÓµÄ,Ì¹°×µÄvt. Ö¸Ê¾,Ö¸»Ó,ÃüÁî,µ¼ÑÝvi. Ö¸µ¼,Ö¸»Óad. Ö±½ÓµØ;[di'rekt]
disarm;vt. ½â³ýÎä×°,»Ø¸´Æ½³£µÄ±àÖÆ,»ººÍvi. ·ÅÏÂÎäÆ÷;[dis'a:m]
disarming;a. ËÆÏû³ýµÄ,ËÆ½â³ý¾¯½äÐÄµÄ;[dis'2:mi6]
disarrange;vt. ÈÅÂÒ,½ÁÂÒ,ÅªÂÒ;['dis4'rend9]
disarray;vt. ÅªÂÒ,Ê¹»ìÂÒ,Ê¹ÍÑÈ¥ÒÂ·þn. ÎÞÖÈÐò,ÔÓÂÒ,²»ÕûÆëµÄÒÂ·þ;['dis4're]
disaster;n. ÔÖ»ö,²»ÐÒ;[di'za:st4]
disastrous;a. ËðÊ§²ÒÖØµÄ,±¯ÉËµÄ;[di'za:str4s]
disband;vt. ½âÉ¢,Ê¹ÍËÎévi. ½âÉ¢;[dis'b1nd]
disburse;vt. Ö§¸¶,Ö§³ö,·ÖÅä;[dis'b4:s]
discard;vt. ¶ªÆú,Å×Æú,½â¹Ívi. µæÅÆn. µæÅÆ,Å×Æú;[dis'ka:d]
discern;vt.vi. ±æ±ð,¿´Çå³þ;[di's4:n]
discernible;adj. ¿É·Ö±ðµÄ;"[di's_:n_bl;di's_:n_b_l]"
discharge;vt. Ð¶ÏÂ,·Å³ö,½â¹Í,·Åµç,ÂÄÐÐ,°ÎÈ¾vi. Ð¶»õ,Á÷×¢n. Ð¶»õ,Á÷³ö,·Åµç;[dis't5a:d9]
disciple;n. µÜ×Ó,ÃÅÍ½;[di'saipl]
disclaim;vt.vi. ·ÅÆú,ÆúÈ¨,¾Ü¾ø;[dis'klem]
discord;n. ²»µ÷ºÍ,²»ºÍvi. ²»Ò»ÖÂ,ÇãÔþ;['disk3:d]
discord;n. ²»µ÷ºÍ,²»ºÍvi. ²»Ò»ÖÂ,ÇãÔþ;['disk3:d]
discount;n. ÕÛ¿Û,ÌùÏÖÂÊvt. ´òÕÛ¿Ûvi. ÌùÏÖ;['diskaunt]
discourse;n. Ì¸»°,ÑÝ½²vi. Ì¸ÂÛ,ÑÝËµ;[dis'k3:s]
discreet;a. Ð¡ÐÄµÄ,É÷ÖØµÄ;[dis'kri:t]
discrete;a. ²»Á¬ÐøµÄa. ÀëÉ¢µÄ;[di'skrit]
discretion;n. É÷ÖØ,±æ±ðÁ¦,¿¼ÂÇ,´¦ÀíÈ¨;[dis'kre54n]
discrimination;n. ²î±ð,ÆçÊÓ,±æ±ðÁ¦;[dis'krimi'nei54n]
disdain;n. ÇáÃïvt. ÃïÊÓ,±ÉÆú;[dis'dein]
disfigure;"vt. »ÙËðÿµÄÍâ¹Û,Ê¹ÿ±ä³ó; ÆÆ»µÿµÄ¼ÛÖµ [ÓÅµã]  n. ~ment";[dis'fig4]
disgrace;n. ³ÜÈè,²»ÃûÓþvt. Ê¹³ÜÈè,Ê¹Ê§ÌåÃæ;[dis'greis]
disgust;n. Ñá¶ñ,ÏÓ¶ñvi. ÁîÈËÑá¶ñvt. Ê¹×÷Å»;[dis'g8st]
disinterested;a. ÎÞË½ÓûµÄ,Á®½àµÄ,¹«Æ½µÄ;[dis'int4r4stid]
dismal;a. Òõ³ÁµÄ,ÆàÁ¹µÄ,°µµÄn. µÍÂäµÄÇéÐ÷,ÕÓÔó;['dizm4l]
dismay;n. ¾ÚÉ¥vt. Ê¹¾ªãµ,Ê¹ÆøÄÙ;[dis'mei]
disparage;vt. ÃïÊÓ,±áËð;[dis'p1rid9]
dispatch;vt. ÅÉÇ²n. ÅÉÇ²,¼±¼þ;[dis'p1t5]
dispensable;a. ²»ÊÇ±ØÒªµÄ,¿ÉÓÐ¿ÉÎÞµÄ;[di'spens4bl]
displace;vt. ÒÆÖÃ,Ìæ»»,×ªÒÆ;[dis'pleis]
dispose;vt. ´¦Àí,ÅÅÁÐ,²¼ÖÃvi. ´¦ÖÃ;[dis'p4uz]
disposition;n. ÐÔÇé,´¦ÖÃ,´¦Àí,²¼ÖÃ;['disp4'zi54n]
disprove;vt. Ö¤Ã÷...ÊÇ²»¶ÔµÄ,Ìá³ö...µÄ·´Ö¤,·´²µ;[dis'pru:v]
disreputable;a. ÃûÓþ²»ºÃµÄ,ÆÀ¼Û²»¸ßµÄ,ÉùÃûÀÇ½åµÄ;[dis'repjut4bl]
disrespectful;a. Ê§ÀñµÄ,ÎÞÀñµÄ;[disris'pektful]
disrupt;a. ·ÖÁÑµÄ,·ÖÉ¢µÄvt. Ê¹·ÖÁÑ,Ê¹Íß½â;[dis'r8pt]
dissect;vt.vi. ½âÆÊ,ÇÐÏ¸;[di'sAkt]
dissemble;vt.vi. ÑÚÊÎ,¼Ù×°²»ÖªµÀ;[di'sembl]
disseminate;vt. É¢²¥,´«²¥,Ðû´«vi. ¹ãÎª´«²¥;[di'semineit]
dissimilar;a. ²»Í¬µÄ,ÏàÒìµÄ;[di'simil4]
dissimulate;vt.vi. ÑÚÊÎ,¼Ù×°,×°ºýÍ¿;[di'simjuleit]
dissipate;vt. É¢Ê§,ÇýÉ¢,ÀË·Ñvi. ÏûÉ¢,·Åµ´;['disipeit]
distant;a. Ô¶µÄ,ÊèÔ¶µÄ;['dist4nt]
distillation;n. ÕôÁó;['distl'e54n]
distort;vt. Å¤Çú,ÍáÇú;[dis't3:t]
distract;vt. ×ªÒÆ,·ÖÐÄ,Ê¹·¢¿ñ;[dis'tr1kt]
distressed;a. °§ÉËµÄ;"[dis'trest;di'strest]"
distribute;vt. ·ÖÅä,É¢²¼,·Ö·¢;[dis'tribju:t]
disunite;vt. Ê¹·ÖÀë,²»ºÍ;['disju'nait]
diverge;vi. ·ÖÆç,²í¿ªvt. Ê¹²í¿ª;[dai'v4:d9]
divergent;a. ·ÖÆçµÄ;[dai'v4:d94nt]
diverse;a. ²»Í¬µÄ,±ä»¯¶àµÄ;[dai'v4:s]
diversify;vt. Ê¹³ÉÐÎÐÎÉ«É«,Ê¹¶àÑù»¯,Ê¹±ä»¯;[d4'v4:s4'fai]
divide;vi. ·Ö¿ª,·ÖÀà,·ÖÁÑvt. ·Ö,·Ö¿ª,·ÖÁÑ,³ýn. ·ÖÅä,·ÖË®Áëv. ³ý;[di'vaid]
divulge;vt. Ð¹Â¶,±©Â¶;[dai'v8ld9]
doctrine;n. ½ÌÌõ,Ñ§Ëµ;['d3ktrin]
dodge;vi.vt. ±Ü¿ª,¶ã±Ün. ¹î¼Æ,¶ã²Ø;[d3d9]
dogma;n. ½ÌÌõ;['d3gm4]
dogmatic;a. ½ÌÌõµÄ,¶À¶ÏµÄ;[d3g'm1tik]
doleful;a. ±¯°§µÄ,¼ÅÄ¯µÄ,Òõ³ÁµÄ;['d4ulful]
dolphin;n. º£ëà;['d3lfin]
domestic;a. ¼ÒÍ¥µÄ,¹úÄÚµÄ,Ñ±·þµÄ;[d4'mestik]
dominant;a. Õ¼ÓÅÊÆµÄ,Ö§ÅäµÄ;['d3min4nt]
dominate;vt.vi. Ö§Åä,Õ¼ÓÅÊÆ;['d3mineit]
domineering;adj. Ê¢ÆøÁèÈËµÄ,°ÏìèµÄ,×÷Íþ×÷¸£µÄ adv. ~ly;[-'ni4ri6]
dominion;n. ÁìÍÁ,Ö÷È¨,Í³ÖÎ;[d4'minj4n]
donate;vt.vi. ¾èÔù;[d4u'neit]
donor;n. ¾èÔùÈË;['d4un4]
doomed;"adj. 1 ÃüÔË×¢¶¨µÄ; ±»¶¨×ïµÄ; ÌìÊýÒÑ¾¡µÄ2 ×¢¶¨ÒªÊ§°Ü¡¢ËÀÍö¡¢»ò»ÙÃðµÄ";[du:md]
dormant;a. Ë¯Ãß×´Ì¬µÄ,¾²Ö¹µÄ;['d4u:m4nt]
dormitory;n. ËÞÉá;['d3:mitri]
doubt;n. »³ÒÉ,ÒÉ»óvt.vi. »³ÒÉ,²»ÐÅ;[daut]
doubtful;a. ¿ÉÒÉµÄ,ÒÉÐÄµÄ,²»È·µÄ;['dautful]
downcast;a. ÆøÄÙµÄ,±¯°§µÄ;['daun'ka:st]
downhearted;a. ´¹Í·É¥ÆøµÄ,ÎÞ¾«´ò²ÉµÄ,ÃÆÃÆ²»ÀÖµÄ;['daun'h2:tid]
doze;vi. ´òî§Ë¯,¼ÙÃÂvt. ´òî§Ë¯¶È¹ýn. î§Ë¯;[d4uz]
drag;n. ÍÏ,ÍÏÀÛvt.vi. ÍÏÀÛ,ÍÏÀ­,ÂýÌõË¹ÀíµØ×ßv. ÍÏ¶¯;[dr1g]
drastic;a. ¼¤ÁÒµÄ;['dr1stik]
drawback;n. ²»Àûµã,ÍËË°;['dr3:b1k]
dread;n. ¿Ö¾å,¿ÉÅÂµÄÈË,¿ÉÅÂµÄÊÂa. ¿ÉÅÂµÄ,¿É²ÀµÄvt.vi. ¿Ö¾å,º¦ÅÂ;[dred]
drizzle;n. Ï¸Óêvi.vt. ÏÂÃ«Ã«Óê;['drizl]
drought;n. ¸Éºµ,È±·¦;[draut]
drowsy;a. »è»èÓûË¯µÄ;['drauzi]
dual;a. Ë«ÖØµÄ,Ë«µÄn. Ë«Êý;['dju:4l]
dubious;a. ¿ÉÒÉµÄ,²»È·¶¨µÄ;['dju:bj4s]
ductile;a. Ò×ÑÓÕ¹µÄ,ÈáÈíµÄ,Ò×½Ìµ¼µÄ;['d8ktl]
due;n. Ó¦µÃµÄ¶«Î÷,Ó¦¸¶¿îa. µ½ÆÚµÄ,Ó¦µÃµÄ,Ó¦¸¶µÄ,Ô¼¶¨µÄ;[dju:]
dumb;a. ÑÆµÄ,²»Ëµ»°µÄ,ÎÞÉùÒôµÄ;[d8m]
dungeon;n. µØÀÎ;['d8nd94n]
durable;a. ³Ö¾ÃµÄ,ÄÍÓÃµÄ;['dju4r4bl]
dusky;"adj. 1 Î¢°µµÄ,°µµ­µÄ; Òõ°µµÄ2 (Î¯ÍñÓï) (Æ¤·ô) Î¢ºÚµÄ,´øºÚÉ«µÄ adv. duskily n. -iness";['d8ski]
dwell;vi. ¾Ó×¡,³ì³ù;[dwel]
dwelling;n. ×¡´¦;['dweli6]
dwindle;vi. ¼õÉÙ,ËõÐ¡,Ë¥Âävt. Ê¹ËõÐ¡;['dwindl]
dye;n. ÑÕÁÏ,È¾ÁÏvt. È¾,È¾É«vi. ×ÅÉ«;[dai]
eager;a. ÈÈÐÄµÄ,¿ÊÍûµÄ,ÈÈÍûµÄ;['i:g4]
ebb;n. ÍË³±,Ë¥ÍËvi. ³±ÍË,Ë¥ÍË;[eb]
eccentric;n. ¹ÖÈË,Æ«ÐÄÔ²a. ¹Å¹ÖµÄ,·´³£µÄ,²»Í¬Ô²ÐÄµÄ,;[ik'sentrik]
economical;a. ½Ú¼óµÄ,¾­¼ÃµÄ,ºÏËãµÄ;['i:k4'n3mik4l]
economics;n. ¾­¼ÃÑ§;['i:k4'n3miks]
economize;vt.vi. ½ÚÔ¼,½ÚÊ¡,ÓÐÐ§µØÀûÓÃ;[i'k3m4maiz]
ecstasy;n. ¿ñÏ²,ÐÄ×íÉñÃÔ,ÍüÐÎ;['ekst4si]
edge;n. ±ßÔµ,¼âÈñ,µ¶ÈÐ,ÓÅÊÆvt. Ê¹ÈñÀû,¼·½ø,Ïâ±ß,¿ªÈÐvi. »º»ºÒÆ¶¯;[ed9]
edible;n. Ê³Æ·,Ê³Îïa. ¿ÉÊ³ÓÃµÄ;['edibl]
edify;vt. ÆôµÏ,Ñ¬ÌÕ,½Ì»å;['edifai]
efface;vt. Ä¨È¥,Ïû³ý,ÍüÈ´;[i'feis]
effect;n. ½á¹û,Ó°Ïì,Ð§¹û,Ó¡Ïóvt. ÕÐÖÂ,ÒýÆð,Íê³Év. Ð§¹û;[i'fekt]
effective;a. ÓÐÐ§µÄ,ÓÐÁ¦µÄ,Êµ¼ÊµÄn. ÓÐÉúÁ¦Á¿;[i'fektiv]
effectuate;vt. ÕÐÖÂ,ÊµÐÐ,Íê³É;[4'fAkt5u'et]
efficient;a. ÓÐÐ§ÂÊµÄ,ÄÜ¸ÉµÄ;[i'fi54nt]
effuse;vt.vi. Ó¿³ö,Á÷³ö,Ðº³ö;[A'fjuz]
egoist;n. ×ÔÎÒÖ÷ÒåÕß;['egouist]
eject;vt. Öð·Å,·ÅÖð,ÅçÉän. ÍÆ¶ÏµÄÊÂÎï;[i:'d9ekt]
elaborate;a. ¾«Ï¸µÄ,Ïê¾¡µÄ,¾«ÐÄµÄvt. ÏêÏ¸µØËµÃ÷,ÓÃÐÄµØÖÆ×÷,ÍÆÇÃvi. ±ä¸´ÔÓ,×÷ÏêÏ¸ËµÃ÷;[i'l1b4rit]
elapse;vi. ÊÅÈ¥,¹ýÈ¥n. ÊÅÈ¥,¹ýÈ¥;[i'l1ps]
elasticity;n. µ¯Á¦,µ¯ÐÔ;[i'l1s'tis4ti]
elation;n. µÃÒâÑóÑó,ÐË¸ß²ÉÁÒ;[i'le54n]
election;n. Ñ¡¾Ù,µ±Ñ¡,Ñ¡ÔñÈ¨;[i'lek54n]
elegant;a. ÓÅÑÅµÄ,¶Ë×¯µÄ,¸ßÑÅµÄ;['elig4nt]
element;n. Ôª¼þ,ÔªËØ,ÒªËØ;['elim4nt]
elementary;a. ³õ²½µÄ,»ù±¾µÄ;['eli'ment4ri]
elevate;vt. ¾ÙÆð,Ìá°Î,¹ÄÎè;['eliveit]
elite;n. ¾«»ª,¾«Èñ,ÖÐ¼á·Ö×Ó;[ei'li:t]
eloquence;n. ¿Ú²Å,ÐÛ±çÊõ,ÐÛ±ç;['el4kw4ns]
eloquent;a. ÐÛ±çµÄ,ÓÐ¿Ú²ÅµÄ,¶¯ÈËµÄ;['el4kw4nt]
elucidate;vt. ²ûÃ÷,ËµÃ÷;[i'lu:sideit]
elude;vt. ÌÓ±Ü,¹æ±Ü,Ê¹À§»ó;[i'lu:d]
elusive;a. ÄÑ¶®µÄ,Ò×ÍüµÄ,ÄÑ×½ÃþµÄ;[i'lu:siv]
emaciate;vt. Ê¹ÏûÊÝ,Ê¹ã¾ã²vi. ÏûÊÝ;[i'mei5ieit]
